Adjective,Type,Gender
ambigu,N,F
autoritaire,N,F
calculateur,N,F
capricieux,N,F
hésitant,N,F
hypocrite,N,F
impatient,N,F
incertain,N,F
indirect,N,F
indiscret,N,F
insistant,N,F
interminable,N,F
lunatique,N,F
maniéré,N,F
manipulateur,N,F
mesquin,N,F
moqueur,N,F
nerveux,N,F
prétentieux,N,F
prolixe,N,F
sournois,N,F
superflu,N,F
vulgaire,N,F
attentif,P,F
attentionné,P,F
avenant,P,F
clair,P,F
compréhensif,P,F
doux,P,F
dynamique,P,F
élégant,P,F
gentil,P,F
harmonieux,P,F
ordonné,P,F
organisé,P,F
ouvert,P,F
patient,P,F
poli,P,F
précis,P,F
réfléchi,P,F
respectueux,P,F
séduisant,P,F
sérieux,P,F
soigné,P,F
souriant,P,F
subtil,P,F
bavard,X,F
familier,X,F
intéressé,X,F
interminable,X,F
malin,X,F
soucieux,X,F
subjectif,X,F
timide,X,F
agressif,N,M
baratineur,N,M
brusque,N,M
désagréable,N,M
grossier,N,M
hypocrite,N,M
impoli,N,M
indélicat,N,M
inexpressif,N,M
inintéressant,N,M
irréfléchi,N,M
lâche,N,M
macho,N,M
manipulateur,N,M
mesquin,N,M
moqueur,N,M
nerveux,N,M
prétentieux,N,M
sec,N,M
sournois,N,M
vicieux,N,M
violent,N,M
vulgaire,N,M
argumenté,P,M
avenant,P,M
calme,P,M
clair,P,M
compréhensif,P,M
concis,P,M
déterminé,P,M
dynamique,P,M
élégant,P,M
expressif,P,M
franc,P,M
patient,P,M
posé,P,M
précis,P,M
protecteur,P,M
réfléchi,P,M
respectueux,P,M
séduisant,P,M
sérieux,P,M
souple,P,M
spontané,P,M
subtil,P,M
sûr,P,M
basique,X,M
familier,X,M
intéressé,X,M
subjectif,X,M
viril,X,M
concurrentiel,X,M
interminable,X,M
soucieux,X,M
